,station_origin,station_destination,flows_x,population,jobs,distance,population_log,jobs_log,distance_log,new_jobs_scenariA,gamma_j,attrsimest2,Bj1,B_j2,D_j,attrsimest3,Bj2,attrsimest4,diff
10751,Chesham,Bank and Monument,2,932,78549,47450.48948873311,6.837332814685591,11.271477912857982,10.767442119869653,78549.0,0.5925434464189843,5473713.0,3026520.9091561087,1.7424348692612464e-09,78549,414.0,1.7424348692612464e-09,414.0,412.0
1015,Amersham,Bank and Monument,14,1190,78549,44520.21324783082,7.081708586105575,11.271477912857982,10.703698595311316,78549.0,0.5925434464189843,5364666.0,2966226.895247077,1.7424348692612464e-09,78549,406.0,1.7424348692612464e-09,406.0,392.0
9924,Chalfont & Latimer,Bank and Monument,7,940,78549,41134.55310047448,6.84587987526405,11.271477912857982,10.624603755328003,78549.0,0.5925434464189843,5232373.0,2893079.548446716,1.7424348692612464e-09,78549,396.0,1.7424348692612464e-09,396.0,389.0
11215,Chorleywood,Bank and Monument,7,900,78549,37621.69980901746,6.802394763324311,11.271477912857982,10.535336285487048,78549.0,0.5925434464189843,5086980.0,2812688.922995696,1.7424348692612464e-09,78549,385.0,1.7424348692612464e-09,385.0,378.0
56151,Watford,Bank and Monument,10,1400,78549,35638.15628352613,7.24422751560335,11.271477912857982,10.48117214858349,78549.0,0.5925434464189843,5000738.0,2765003.8325629565,1.7424348692612464e-09,78549,378.0,1.7424348692612464e-09,378.0,368.0
12995,Croxley,Bank and Monument,5,1035,78549,33583.27775886498,6.942156705699469,11.271477912857982,10.421783536316571,78549.0,0.5925434464189843,4907856.0,2713647.8639738727,1.7424348692612464e-09,78549,371.0,1.7424348692612464e-09,371.0,366.0
43257,Rickmansworth,Bank and Monument,10,1258,78549,34070.346568454675,7.1372784372603855,11.271477912857982,10.436182682850257,78549.0,0.5925434464189843,4930216.0,2726011.165418117,1.7424348692612464e-09,78549,373.0,1.7424348692612464e-09,373.0,363.0
54117,Uxbridge,Bank and Monument,9,2764,78549,32497.07423031565,7.92443418488756,11.271477912857982,10.38890534058286,78549.0,0.5925434464189843,4857180.0,2685627.9775685146,1.7424348692612464e-09,78549,368.0,1.7424348692612464e-09,368.0,359.0
34644,Moor Park,Bank and Monument,4,648,78549,30673.12711045843,6.473890696352274,11.271477912857982,10.33114221182135,78549.0,0.5925434464189843,4769412.0,2637099.1660395656,1.7424348692612464e-09,78549,361.0,1.7424348692612464e-09,361.0,357.0
23957,Heathrow Terminal 5,Bank and Monument,14,938,78549,32443.451347696573,6.843749949006225,11.271477912857982,10.387253894299391,78549.0,0.5925434464189843,4854648.0,2684228.216615742,1.7424348692612464e-09,78549,367.0,1.7424348692612464e-09,367.0,353.0
25673,Hillingdon,Bank and Monument,8,1337,78549,30352.67910294367,7.198183577101943,11.271477912857982,10.320640066164865,78549.0,0.5925434464189843,4753625.0,2628370.6273333835,1.7424348692612464e-09,78549,360.0,1.7424348692612464e-09,360.0,352.0
27700,Ickenham,Bank and Monument,4,737,78549,29228.24190774084,6.602587892189336,11.271477912857982,10.282890709452088,78549.0,0.5925434464189843,4697313.0,2597234.2728641178,1.7424348692612464e-09,78549,355.0,1.7424348692612464e-09,355.0,351.0
23760,Heathrow Terminal 4,Bank and Monument,5,811,78549,29451.7546199088,6.698268054115413,11.271477912857982,10.290508766928326,78549.0,0.5925434464189843,4708623.0,2603487.935798972,1.7424348692612464e-09,78549,356.0,1.7424348692612464e-09,356.0,351.0
43810,Ruislip,Bank and Monument,5,1305,78549,27442.58692539387,7.173958319756794,11.271477912857982,10.21985135310292,78549.0,0.5925434464189843,4604757.0,2546058.377410351,1.7424348692612464e-09,78549,348.0,1.7424348692612464e-09,348.0,343.0
44049,Ruislip Manor,Bank and Monument,4,1399,78549,26763.700945156008,7.243512974665482,11.271477912857982,10.1948018060679,78549.0,0.5925434464189843,4568487.0,2526004.0095239994,1.7424348692612464e-09,78549,346.0,1.7424348692612464e-09,346.0,342.0
37587,Northwood Hills,Bank and Monument,8,1454,78549,26868.159113336817,7.282073658093465,11.271477912857982,10.19869718840796,78549.0,0.5925434464189843,4574108.0,2529112.2023752397,1.7424348692612464e-09,78549,346.0,1.7424348692612464e-09,346.0,338.0
23534,Hatton Cross,Bank and Monument,15,1357,78549,27575.42192626881,7.213031659834869,11.271477912857982,10.224680145047936,78549.0,0.5925434464189843,4611782.0,2549942.5156812794,1.7424348692612464e-09,78549,349.0,1.7424348692612464e-09,349.0,334.0
46116,South Harrow,Bank and Monument,7,1516,78549,25243.1020758514,7.323830566202317,11.271477912857982,10.13630821226686,78549.0,0.5925434464189843,4484901.0,2479787.6733108168,1.7424348692612464e-09,78549,339.0,1.7424348692612464e-09,339.0,332.0
53388,Upminster,Bank and Monument,10,727,78549,25950.84619965806,6.588926477533519,11.271477912857982,10.1639594969124,78549.0,0.5925434464189843,4524222.0,2501528.87137916,1.7424348692612464e-09,78549,342.0,1.7424348692612464e-09,342.0,332.0
24171,Heathrow Terminals 2 & 3,Bank and Monument,26,2199,78549,29988.172872059848,7.695757990554761,11.271477912857982,10.308558345314214,78549.0,0.5925434464189843,4735529.0,2618365.002166014,1.7424348692612464e-09,78549,358.0,1.7424348692612464e-09,358.0,332.0
37433,Northwood,Bank and Monument,21,2027,78549,28454.82799805004,7.614312146452,11.271477912857982,10.256073126318553,78549.0,0.5925434464189843,4657713.0,2575338.9945674175,1.7424348692612464e-09,78549,352.0,1.7424348692612464e-09,352.0,331.0
50286,Sudbury Hill,Bank and Monument,5,1337,78549,23757.636416817382,7.198183577101943,11.271477912857982,10.0756592911217,78549.0,0.5925434464189843,4399849.0,2432761.0859054266,1.7424348692612464e-09,78549,333.0,1.7424348692612464e-09,333.0,328.0
15872,Eastcote,Bank and Monument,14,2525,78549,25637.461892951105,7.83399634170946,11.271477912857982,10.151809916000248,78549.0,0.5925434464189843,4506902.0,2491952.7201633668,1.7424348692612464e-09,78549,341.0,1.7424348692612464e-09,341.0,327.0
28923,Kenton,Bank and Monument,0,1049,78549,21303.725431981875,6.955592608396297,11.271477912857982,9.966637239313734,78549.0,0.5925434464189843,4250997.0,2350457.5498638055,1.7424348692612464e-09,78549,322.0,1.7424348692612464e-09,322.0,322.0
57974,West Harrow,Bank and Monument,5,1021,78549,22453.995078621625,6.928537818164665,11.271477912857982,10.01922383184268,78549.0,0.5925434464189843,4322156.0,2389802.9569657687,1.7424348692612464e-09,78549,327.0,1.7424348692612464e-09,327.0,322.0
53548,Upminster Bridge,Bank and Monument,19,780,78549,24640.06356587664,6.659293919683638,11.271477912857982,10.112128997428083,78549.0,0.5925434464189843,4450798.0,2460931.3498775056,1.7424348692612464e-09,78549,337.0,1.7424348692612464e-09,337.0,318.0
50450,Sudbury Town,Bank and Monument,11,1493,78549,22140.57980152299,7.30854279753919,11.271477912857982,10.005167393883733,78549.0,0.5925434464189843,4303019.0,2379221.8543483,1.7424348692612464e-09,78549,326.0,1.7424348692612464e-09,326.0,315.0
42348,Rayners Lane,Bank and Monument,21,3452,78549,23818.10751503339,8.146709052203319,11.271477912857982,10.078201390342162,78549.0,0.5925434464189843,4403382.0,2434714.1792690326,1.7424348692612464e-09,78549,333.0,1.7424348692612464e-09,333.0,312.0
857,Alperton,Bank and Monument,7,1624,78549,20480.222519480743,7.392647520721623,11.271477912857982,9.927214944303438,78549.0,0.5925434464189843,4198420.0,2321387.118910265,1.7424348692612464e-09,78549,318.0,1.7424348692612464e-09,318.0,311.0
23069,Harrow & Wealdstone,Bank and Monument,20,1741,78549,23084.39742786324,7.462214939768189,11.271477912857982,10.046912232276972,78549.0,0.5925434464189843,4360101.0,2410783.4733060263,1.7424348692612464e-09,78549,330.0,1.7424348692612464e-09,330.0,310.0
40527,Pinner,Bank and Monument,31,2875,78549,24709.5105216406,7.963807953231451,11.271477912857982,10.114943489868631,78549.0,0.5925434464189843,4454754.0,2463118.8561513172,1.7424348692612464e-09,78549,337.0,1.7424348692612464e-09,337.0,306.0
