,coef,std err,z,P>|z|,[0.025,0.975]
station_destination[Colliers Wood],    0.0519,    0.034,    1.527, 0.127,   -0.015,    0.118
station_destination[Covent Garden],   -1.2098,    0.015,  -79.216, 0.000,   -1.240,   -1.180
station_destination[Crossharbour],    0.3890,    0.029,   13.530, 0.000,    0.333,    0.445
station_destination[Crouch Hill],    1.3202,    0.050,   26.561, 0.000,    1.223,    1.418
station_destination[Croxley],    1.0766,    0.054,   19.856, 0.000,    0.970,    1.183
station_destination[Crystal Palace],    1.8849,    0.045,   42.139, 0.000,    1.797,    1.973
station_destination[Custom House],    0.5185,    0.034,   15.089, 0.000,    0.451,    0.586
station_destination[Cutty Sark],    0.4686,    0.024,   19.587, 0.000,    0.422,    0.515
station_destination[Cyprus],    0.7896,    0.034,   23.048, 0.000,    0.722,    0.857
station_destination[Dagenham East],    0.4202,    0.039,   10.708, 0.000,    0.343,    0.497
station_destination[Dagenham Heathway],    0.1154,    0.030,    3.841, 0.000,    0.057,    0.174
station_destination[Dalston Junction],    0.7594,    0.028,   27.288, 0.000,    0.705,    0.814
station_destination[Dalston Kingsland],    0.5919,    0.022,   27.060, 0.000,    0.549,    0.635
station_destination[Debden],    0.4813,    0.034,   14.158, 0.000,    0.415,    0.548
station_destination[Denmark Hill],    0.8229,    0.020,   42.012, 0.000,    0.785,    0.861
station_destination[Deptford Bridge],    0.8452,    0.034,   24.528, 0.000,    0.778,    0.913
station_destination[Devons Road],    0.6832,    0.040,   16.910, 0.000,    0.604,    0.762
station_destination[Dollis Hill],   -0.1023,    0.034,   -2.978, 0.003,   -0.170,   -0.035
station_destination[Ealing Broadway],   -0.6251,    0.014,  -43.269, 0.000,   -0.653,   -0.597
station_destination[Ealing Common],   -0.1600,    0.033,   -4.844, 0.000,   -0.225,   -0.095
station_destination[Earl's Court],   -1.1490,    0.012,  -91.964, 0.000,   -1.173,   -1.125
station_destination[East Acton],   -0.2949,    0.026,  -11.447, 0.000,   -0.345,   -0.244
station_destination[East Finchley],   -0.1488,    0.028,   -5.270, 0.000,   -0.204,   -0.093
station_destination[East Ham],   -0.3434,    0.022,  -15.588, 0.000,   -0.387,   -0.300
station_destination[East India],    0.2172,    0.026,    8.475, 0.000,    0.167,    0.267
station_destination[East Putney],   -0.4295,    0.023,  -18.609, 0.000,   -0.475,   -0.384
station_destination[Eastcote],    0.4271,    0.052,    8.153, 0.000,    0.324,    0.530
station_destination[Edgware],    0.3994,    0.036,   11.102, 0.000,    0.329,    0.470
station_destination[Edgware Road],   -1.1779,    0.012,  -95.954, 0.000,   -1.202,   -1.154
station_destination[Edmonton Green],    0.9758,    0.036,   27.331, 0.000,    0.906,    1.046
station_destination[Elephant & Castle],   -1.1464,    0.013,  -90.550, 0.000,   -1.171,   -1.122
station_destination[Elm Park],    0.7639,    0.061,   12.533, 0.000,    0.644,    0.883
station_destination[Elverson Road],    1.3829,    0.066,   20.811, 0.000,    1.253,    1.513
station_destination[Embankment],   -1.4367,    0.010, -139.388, 0.000,   -1.457,   -1.417
station_destination[Emerson Park],    4.1286,    0.154,   26.768, 0.000,    3.826,    4.431
station_destination[Enfield Town],    1.4341,    0.037,   39.281, 0.000,    1.363,    1.506
station_destination[Epping],    0.7956,    0.045,   17.754, 0.000,    0.708,    0.883
station_destination[Euston],   -1.4558,    0.008, -173.395, 0.000,   -1.472,   -1.439
station_destination[Euston Square],   -0.9950,    0.011,  -87.418, 0.000,   -1.017,   -0.973
station_destination[Fairlop],    0.8324,    0.074,   11.235, 0.000,    0.687,    0.978
station_destination[Farringdon],   -1.4882,    0.007, -206.229, 0.000,   -1.502,   -1.474
station_destination[Finchley Central],   -0.1609,    0.023,   -7.053, 0.000,   -0.206,   -0.116
station_destination[Finchley Road],   -0.7415,    0.017,  -43.220, 0.000,   -0.775,   -0.708
station_destination[Finchley Road & Frognal],    0.4840,    0.026,   18.938, 0.000,    0.434,    0.534
station_destination[Finsbury Park],   -0.9568,    0.012,  -77.642, 0.000,   -0.981,   -0.933
station_destination[Forest Gate],    1.9419,    0.035,   55.541, 0.000,    1.873,    2.010
