,coef,std err,z,P>|z|,[0.025,0.975]
station_destination[Shadwell],   -0.4630,    0.012,  -38.990, 0.000,   -0.486,   -0.440
station_destination[Shenfield],    2.6841,    0.033,   82.042, 0.000,    2.620,    2.748
station_destination[Shepherd's Bush],   -1.1955,    0.010, -115.402, 0.000,   -1.216,   -1.175
station_destination[Shepherd's Bush Market],   -0.0847,    0.049,   -1.730, 0.084,   -0.181,    0.011
station_destination[Shoreditch High Street],    0.2774,    0.012,   23.579, 0.000,    0.254,    0.300
station_destination[Silver Street],    1.1008,    0.032,   34.018, 0.000,    1.037,    1.164
station_destination[Sloane Square],   -1.1923,    0.011, -105.739, 0.000,   -1.214,   -1.170
station_destination[Snaresbrook],    0.2972,    0.044,    6.730, 0.000,    0.211,    0.384
station_destination[South Acton],    0.9532,    0.032,   29.794, 0.000,    0.891,    1.016
station_destination[South Ealing],   -0.0073,    0.039,   -0.189, 0.850,   -0.083,    0.068
station_destination[South Hampstead],    1.7774,    0.065,   27.327, 0.000,    1.650,    1.905
station_destination[South Harrow],    0.4919,    0.051,    9.683, 0.000,    0.392,    0.592
station_destination[South Kensington],   -1.3580,    0.009, -157.260, 0.000,   -1.375,   -1.341
station_destination[South Kenton],    0.7260,    0.062,   11.736, 0.000,    0.605,    0.847
station_destination[South Quay],    0.0064,    0.015,    0.426, 0.670,   -0.023,    0.036
station_destination[South Ruislip],    0.8451,    0.059,   14.373, 0.000,    0.730,    0.960
station_destination[South Tottenham],    1.5209,    0.043,   35.768, 0.000,    1.438,    1.604
station_destination[South Wimbledon],    0.1220,    0.027,    4.503, 0.000,    0.069,    0.175
station_destination[South Woodford],    0.0771,    0.036,    2.136, 0.033,    0.006,    0.148
station_destination[Southbury],    1.6825,    0.043,   39.058, 0.000,    1.598,    1.767
station_destination[Southfields],   -0.2288,    0.027,   -8.413, 0.000,   -0.282,   -0.175
station_destination[Southgate],    0.0956,    0.034,    2.828, 0.005,    0.029,    0.162
station_destination[Southwark],   -1.3047,    0.010, -127.786, 0.000,   -1.325,   -1.285
station_destination[St James Street],    1.8547,    0.074,   25.179, 0.000,    1.710,    1.999
station_destination[St. James's Park],   -1.3785,    0.009, -150.469, 0.000,   -1.396,   -1.361
station_destination[St. John's Wood],   -0.8614,    0.016,  -54.121, 0.000,   -0.893,   -0.830
station_destination[St. Paul's],   -1.3402,    0.009, -146.889, 0.000,   -1.358,   -1.322
station_destination[Stamford Brook],   -0.2329,    0.036,   -6.527, 0.000,   -0.303,   -0.163
station_destination[Stamford Hill],    1.5876,    0.053,   29.820, 0.000,    1.483,    1.692
station_destination[Stanmore],    0.3018,    0.032,    9.463, 0.000,    0.239,    0.364
station_destination[Star Lane],    0.6075,    0.031,   19.725, 0.000,    0.547,    0.668
station_destination[Stepney Green],   -0.6416,    0.023,  -27.817, 0.000,   -0.687,   -0.596
station_destination[Stockwell],   -0.6275,    0.025,  -25.293, 0.000,   -0.676,   -0.579
station_destination[Stoke Newington],    1.3005,    0.046,   28.497, 0.000,    1.211,    1.390
station_destination[Stonebridge Park],   -0.0255,    0.037,   -0.689, 0.491,   -0.098,    0.047
station_destination[Stratford],   -1.8487,    0.006, -308.221, 0.000,   -1.861,   -1.837
station_destination[Stratford High Street],    0.9890,    0.036,   27.796, 0.000,    0.919,    1.059
station_destination[Stratford International],    0.7579,    0.025,   29.817, 0.000,    0.708,    0.808
station_destination[Sudbury Hill],    0.4930,    0.060,    8.209, 0.000,    0.375,    0.611
station_destination[Sudbury Town],    0.6410,    0.068,    9.468, 0.000,    0.508,    0.774
station_destination[Surrey Quays],    0.6242,    0.032,   19.809, 0.000,    0.562,    0.686
station_destination[Swiss Cottage],   -0.6809,    0.020,  -34.670, 0.000,   -0.719,   -0.642
station_destination[Sydenham],    1.2572,    0.044,   28.562, 0.000,    1.171,    1.343
station_destination[Temple],   -1.1762,    0.012,  -95.122, 0.000,   -1.200,   -1.152
station_destination[Theobalds Grove],    2.2255,    0.074,   30.043, 0.000,    2.080,    2.371
station_destination[Theydon Bois],    1.5862,    0.101,   15.707, 0.000,    1.388,    1.784
station_destination[Tooting Bec],   -0.2193,    0.028,   -7.723, 0.000,   -0.275,   -0.164
station_destination[Tooting Broadway],   -0.5465,    0.015,  -36.512, 0.000,   -0.576,   -0.517
station_destination[Tottenham Court Road],   -1.5863,    0.008, -197.076, 0.000,   -1.602,   -1.570
station_destination[Tottenham Hale],   -0.4576,    0.018,  -25.995, 0.000,   -0.492,   -0.423
station_destination[Totteridge & Whetstone],    0.5944,    0.059,   10.074, 0.000,    0.479,    0.710
station_destination[Tower Gateway],    0.6114,    0.017,   35.217, 0.000,    0.577,    0.645
